id;nombre;descripcion;precio;precio_gratis
1;boohoo;the venom any;23076.68;3924.91
2;supportive fooey;phooey;27933.94;31812.55
3;moor a;juvenile reclassify;24217.6;13966.76
4;indeed since;clearly substantial;6250.75;1801.83
5;zowie;ack;3761.7;7251.19
6;thankfully;nectarine minus;17484.46;26963.42
7;co-producer yippee reprimand;newsstand stump scarcely;22105.88;20804.05
8;when;given circumnavigate;15237.39;22298.29
9;dapper boohoo tightly;aboard pro;6842.94;1073.14
10;editor;override;26873.74;30493.89
