id;codigo;nombre;descripcion;precio_base;moneda
1;perky scoff;ornate mountain;../fake-data/blob/hipster.txt;19010.03;terribly
2;svelte great that;whether;../fake-data/blob/hipster.txt;8472.25;rust wordy boastfully
3;siege valentine insecure;slap since;../fake-data/blob/hipster.txt;10521.59;distinct
4;blissfully;jovially;../fake-data/blob/hipster.txt;28920.58;queasily discourse govern
5;rewarding furthermore;resource under;../fake-data/blob/hipster.txt;20409.27;meanwhile recklessly
6;upon via equate;pish;../fake-data/blob/hipster.txt;26633.42;electronics chairperson
7;meanwhile produce mmm;where overload;../fake-data/blob/hipster.txt;11484.54;team within stark
8;egg yahoo;unzip savour;../fake-data/blob/hipster.txt;27913.84;down pale pillory
9;qua;when sans jungle;../fake-data/blob/hipster.txt;15533.04;gah where confusion
10;resort fooey failing;yet;../fake-data/blob/hipster.txt;31648.89;yahoo
