id;codigo;nombre;descripcion;precio_adicional
1;interestingly;bide before via;ouch openly;17796.74
2;before;furthermore;geez;18012.01
3;grown edible;intend gasp content;trusting community sew;7608.8
4;till archive ew;though though perfumed;which;17962.38
5;questionably;evenly separately reprove;sense cripple;7262.46
6;cork quarrelsomely;uncork deliquesce;excluding likewise;26733.22
7;since indeed physically;doubtfully;sonata slump gullible;25833.76
8;positively dulcimer;beside safe unto;new;18079.6
9;mostly colorless pushy;recklessly;abnormally experienced commodity;30074.94
10;minty psst;extroverted;incidentally begonia;8781.8
